CrimeCode;CrimeDescription
343;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
453;DRUNK ROLL - ATTEMPT
485;BIKE - ATTEMPTED STOLEN
952;ABORTION/ILLEGAL
110;CRIMINAL HOMICIDE
435;LYNCHING
949;ILLEGAL DUMPING
821;SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
444;DISHONEST EMPLOYEE - PETTY THEFT
815;SEXUAL PENETRATION W/FOREIGN OBJECT
330;BURGLARY FROM VEHICLE
840;BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM
354;THEFT OF IDENTITY
906;FIREARMS RESTRAINING ORDER (FIREARMS RO)
436;LYNCHING - ATTEMPTED
442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)
122;RAPE, ATTEMPTED
625;OTHER ASSAULT
474;THEFT, COIN MACHINE - PETTY ($950 & UNDER)
470;TILL TAP - GRAND THEFT ($950.01 & OVER)
438;RECKLESS DRIVING
942;BRIBERY
320;BURGLARY, ATTEMPTED
845;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
653;CREDIT CARDS, FRAUD USE ($950.01 & OVER)
900;VIOLATION OF COURT ORDER
445;DISHONEST EMPLOYEE ATTEMPTED THEFT
805;PIMPING
813;CHILD ANNOYING (17YRS & UNDER)
902;VIOLATION OF TEMPORARY RESTRAINING ORDER
475;THEFT, COIN MACHINE - ATTEMPT
443;SHOPLIFTING - ATTEMPT
940;EXTORTION
647;THROWING OBJECT AT MOVING VEHICLE
670;EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)
236;INTIMATE PARTNER - AGGRAVATED ASSAULT
420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
622;BATTERY ON A FIREFIGHTER
345;DISHONEST EMPLOYEE - GRAND THEFT
950;DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400
441;THEFT PLAIN - ATTEMPT
473;THEFT, COIN MACHINE - GRAND ($950.01 & OVER)
880;DISRUPT SCHOOL
210;ROBBERY
471;TILL TAP - PETTY ($950 & UNDER)
331;THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
446;PETTY THEFT - AUTO REPAIR
660;COUNTERFEIT
649;DOCUMENT FORGERY / STOLEN FELONY
520;VEHICLE - ATTEMPT STOLEN
814;CHILD PORNOGRAPHY
250;SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT
870;CHILD ABANDONMENT
351;PURSE SNATCHING
666;BUNCO, ATTEMPT
437;RESISTING ARREST
433;DRIVING WITHOUT OWNER CONSENT (DWOC)
921;HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
661;UNAUTHORIZED COMPUTER ACCESS
930;CRIMINAL THREATS - NO WEAPON DISPLAYED
933;PROWLER
860;BATTERY WITH SEXUAL CONTACT
652;DOCUMENT WORTHLESS ($200 & UNDER)
113;MANSLAUGHTER, NEGLIGENT
756;WEAPONS POSSESSION/BOMBING
924;TELEPHONE PROPERTY - DAMAGE
664;BUNCO, PETTY THEFT
886;DISTURBING THE PEACE
948;BIGAMY
230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT
668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)
310;BURGLARY
905;FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO)
740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)
755;BOMB SCARE
410;BURGLARY FROM VEHICLE, ATTEMPTED
626;INTIMATE PARTNER - SIMPLE ASSAULT
943;CRUELTY TO ANIMALS
237;CHILD NEGLECT (SEE 300 W.I.C.)
850;INDECENT EXPOSURE
627;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
882;INCITING A RIOT
820;ORAL COPULATION
901;VIOLATION OF RESTRAINING ORDER
810;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
884;FAILURE TO DISPERSE
910;KIDNAPPING
830;INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
806;PANDERING
480;BIKE - STOLEN
432;BLOCKING DOOR INDUCTION CENTER
353;DRUNK ROLL
648;ARSON
352;PICKPOCKET
920;KIDNAPPING - GRAND ATTEMPT
349;GRAND THEFT / AUTO REPAIR
760;LEWD/LASCIVIOUS ACTS WITH CHILD
472;TILL TAP - ATTEMPT
931;REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)
121;RAPE, FORCIBLE
865;DRUGS, TO A MINOR
